,0,1
0,2,0
1,4,0
2,2,1
3,5,2
4,5,4
5,6,4
6,7,5
7,8,7
8,9,8
9,10,8
10,19,9
11,13,10
12,13,11
13,110,12
14,13,12
15,15,13
16,15,14
17,111,14
18,112,14
19,17,15
20,111,18
22,21,19
23,22,19
24,21,20
25,23,20
26,23,21
27,112,22
28,25,23
29,25,24
30,27,24
31,28,27
32,29,27
34,31,29
39,35,34
40,52,35
41,38,37
42,39,37
43,40,37
44,39,38
45,40,39
46,41,40
47,42,40
48,44,43
49,46,43
50,45,44
51,48,44
52,55,46
53,55,47
54,114,48
55,55,48
56,63,48
57,57,49
58,58,51
59,59,52
60,70,52
61,55,54
62,60,54
63,56,55
64,58,57
65,114,57
66,59,58
67,62,58
68,74,58
69,75,59
70,61,60
71,69,62
72,73,62
73,64,63
74,69,63
75,116,64
76,65,64
77,66,65
78,115,66
79,67,66
80,68,67
81,69,68
82,91,68
83,76,70
84,78,70
85,116,72
86,73,72
87,79,72
88,83,72
89,74,73
90,75,74
91,85,74
92,76,75
93,77,76
94,84,76
95,88,77
96,80,79
97,117,80
98,117,81
99,91,81
100,117,82
101,118,83
102,85,84
103,88,84
105,88,87
106,90,87
107,99,88
108,97,89
109,97,90
110,118,91
111,94,91
112,93,92
113,94,93
114,106,93
115,100,95
116,106,95
117,118,96
118,97,96
119,100,96
120,101,97
121,102,99
122,105,100
123,109,100
124,102,101
125,104,103
126,119,104
127,119,105
128,107,106
129,108,107
130,112,111
131,113,112
132,0,4
133,1,2
134,1,3
135,2,5
136,4,5
137,4,6
138,5,7
139,7,8
140,7,9
141,8,9
142,8,10
143,9,19
144,10,13
145,11,13
146,12,110
147,12,13
148,12,16
149,14,15
150,14,111
151,14,112
152,15,16
153,18,111
155,19,21
156,19,22
157,20,21
158,20,23
159,21,22
160,21,23
161,23,25
162,24,25
163,25,26
164,27,28
165,27,29
166,29,31
170,34,51
171,35,52
172,37,38
173,37,40
174,38,113
175,38,39
176,39,40
177,40,42
178,42,43
179,43,44
180,43,46
181,44,48
182,46,47
183,46,55
184,47,55
185,48,55
186,48,63
187,49,114
188,49,57
189,52,59
190,52,70
191,53,54
192,54,55
193,54,60
194,55,56
195,57,58
196,57,114
197,58,59
198,58,62
199,59,75
200,60,61
201,61,64
202,62,69
203,63,64
204,63,66
205,63,69
206,64,116
207,64,65
208,65,66
209,66,67
210,67,116
211,67,68
212,68,69
213,70,76
214,70,78
215,71,78
216,72,73
217,72,79
218,72,83
219,73,74
220,74,75
221,74,85
222,75,76
223,76,84
224,77,78
225,77,88
226,79,80
227,80,117
228,81,82
229,81,91
230,82,117
231,84,85
232,84,87
233,84,88
236,87,90
237,88,99
238,89,97
239,90,97
240,91,94
241,92,93
242,92,108
243,93,94
244,95,100
245,95,106
246,95,109
247,96,118
248,96,100
249,97,101
250,98,101
251,99,102
252,100,105
253,101,102
254,102,103
255,103,104
256,104,119
257,105,119
258,107,108
259,111,112
260,112,113
265,86,33
272,32,33
273,33,32
281,112,19
282,19,112
284,30,28
289,33,30
300,98,36
308,32,86
309,86,32
310,32,30
311,30,32
312,86,36
313,85,86
314,86,85
315,30,86
316,86,30
